Username,check,person,Confidence (0-100),Notes,X5,Country,X6,X7,X8,X9,X10,X11,X12,X13,X14,variable,coding
5orm,2,dana,70,"pro jan 25 and anti morsi ""Amnesty International | Egypt: Evidence points to torture carried out by Morsi supporters http://www.amnesty.org/en/for-media/press-releases/egypt-evidence-points-torture-carried-out-morsi-supporters-2013-08-02#.UfwWOL1clfF.twitter …""",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
5orm,2,hana,60,tweets both pro morsi and pro sisi,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
ahmadesseily,2,dana,85,called MB terrorists and antigov,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
ahmadesseily,2,hana,70,"tweets are pro-muslim brotherhood, but seems ambivalent about being pro-morsi. doesnt seem pro-sisi",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
Ali_Larayedh,2,dana,95,"He is former prime minister of Ennahdha party, the islamist but democratic party... he is quoted in this article http://www.aljazeera.com/news/2016/05/left-tunisia-ennahda-party-160526101937131.html: Party officials have stressed that Ennahda's separation of religion and politics is a genuine shift. ""It's a natural development within Tunisia, a natural evolution of the Ennahda party and of a democratic Tunisia,"" Secretary General and Congress President Ali al-Arid told Al Jazeera.",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
Ali_Larayedh,2,hana,60,"seems secularist since he tweeted this quote ""
Ali Al-Arid, Vice-President of the Renaissance Movement:
The term political Islam is poisoned by us and we do not adopt this excuse."" and pro democracy based on tweetng this quote: ""
Prime Minister at the conclusion of the annual symposium of Tunisians abroad:
No democracy without institutions.""",NA,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
amrrodriguez,2,dana,20,"""Scalping Mubarak ,,, Coming Soon ,,,, 2012"".... seems for jan25 but very limited number of tweets on morsi, mb and sisi... ""The White House, perhaps surprisingly, thinks a Morsi victory would be the best for Egypt’s economic transition - Washington Post"".... ""Shafeeq is a pimp ,, He never could have outfought Them ,,, it Was Morsi -- The Godfather""",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
amrrodriguez,2,hana,70,tweets are pro sisi,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
bassem_sabry,2,dana,90,He was a founding member of and strategist for the Constitution Party -- a liberal party founded by leading democracy campaigner and former vice president Mohamed ElBaradei,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
bassem_sabry,2,hana,75,the tweets on this page are both pro morsi and pro sisi,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
dr_heba_raouf,2,dana,60,"she is pro-democrac, is very religious, but says wants islam to not be in govt as a way to maintain authority but for moral justice and ""harmonizing it with the secular system"" http://www.freemalaysiatoday.com/category/nation/2017/08/07/muslim-world-facing-ideacide-says-egyptian-scholar/",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
dr_heba_raouf,2,hana,70,"definitely very pro-morsi based on her tweets, which is why i am assuming she's anti-sisi, but havent found anything overtly anti-sisi on twitter page",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
etharkamal,2,dana,30,"her jan25 posts seems pretty positively pro-dem... but... ""I've always denied that Saad El-Katatney is my father or uncle, because he isn't. My direct family (parents and siblings) are not MB"" and she married SCAF founders son, a doctor...denies any connection between anything... http://egyptmonocle.com/EMonocle/that-neo-power-marriage-of-mine/",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Islamist
etharkamal,2,hana,65,"tweets are anti-morsi on women""s rights issues. doesnt saz anything explicitly bad about sisi, but the sisi related tweets are not pro-sisi either",NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,Religion,Secularist
