Username,Ideology,Confidence (0-100),Notes,Country,,,,,,,,,
slim404,Secularist-Pro Dem.,80,"Tweets are in praise of ""universal suffrage"", and the one of the tweets mentions al-qaeda members joining a morsi sitin",Tunisia,,,,,,,,,
ooouups,Secularist-Pro Dem.,85,"calls nidaa tounes the pary of ""false asses"", so probably pro-democracy. ",Tunisia,,,tweeted that nadha was manipulating people,,,,,,
nawaat,,,citizen media website,Tunisia,,,,,,,,,
psycke,Secularist-Anti Dem.,65,"anti Nahda party: To brandish the specter of terrorism is to call the people to unite against a foreign force. Now the threat comes from Ennahdha and their speech. Also, tweets dont seem pro decmocracy; ""the question i aksk myself, is democracy antiprogressive?"" ""There are people who speak of democracy only in terms of elections. Between 2 elections, c the democratic dictatorship.' ",Tunisia,,,,,,,,,
karim2k,Secularist-Pro Dem.,70,"tweets are anti-Nahda, ",Tunisia,,,,"""But this is what is at stake in democracy, in France as in the USA there are many worlds who are dissatisfied but democracy works""",,,,,
riadheh,Islamist-Pro Dem.,70,"refers to nidaa tounes as militants ""Behold Tunisia! The militants Nidaa Tounes give us a lesson of democracy"" tweets are very pro islam :""Obviously everything would have been simpler if a Muslim majority had created a universal declaration of the principles of Islam.""",Tunisia,,,,,,,,,
mira404,Secularist-Pro Dem.,75,"""I imagine the wind of panic that must blow on Ennahdha's headquarters, as long as there is the street, Tunisia will be democratic. """,Tunisia,,,,,,,,,
yassayari,Islamist-Pro Dem.,65,"""BCE (Beji caif essebsi) For democracy is like Bombing for Peace or Fucking for Virginity"" or ",Tunisia,,,,doesnt seem specifically islamist but not anti/islamism in politics http://www.twitlonger.com/show/n_1smvnpn,,,,,
ka33boura,,,can't locate twitter page,Tunisia,,,,,,,,,
sarah_bh,Islamist-Pro Dem.,80,"seems pro decmocracy: A second round for the presidential election for the first time in its history, a sign that Tunisia is on the right path of democracy. #Proud ""It is clear that Ennahdha remains the most structured and disciplined party in Tunisia.""",Tunisia,,,,,,,,,
majdikhan,Secularist-Pro Dem.,,"""So it confirms a lot of stuff, go stay more than 3 years and we will get rid of ennahdha once and for all! Courage -_- '"" ",Tunisia,,,,,", called ennahda ""cons"" in another tweet",,", tweets are pro democracy: ""To us to establish a true democracy not to taint this beautiful victory!""",,
maramirou,Secularist-Anti Dem.,65,"""Lotfi Maktouf analyzes the failure of Ennahdha and explains the potential for resistance of civil society "" ",Tunisia,,,,,seems pro essebsi: Béji Caïd Essebsi devient le premier chef d'Etat tunisien élu librement depuis l'indépendance en 1956,,,,
marwen,Islamist-Pro Dem.,55,"tweets are pro democracy: ""He advocates values ​​contrary to the republic and contrary to democracy. It was democracy that was demanded on January 14"" not too confident about whether he an islamist or not, though this tweet seems to suggest he's critical of ennhada: ""RT: @lidootn: @Marwen Si Ennahda remporte les éléctions, tu dois penser à faire un e-shop pour les hommes et un autre pour les femmes."" ",Tunisia,,,,,,,,,
benmhennilina,Secularist-Pro Dem.,70,"tweet seem anti ennahda ""Ennahda fails to deliver promises of work and freedom "" AND ANTI-bce: ""Comment choisir entre la peste et le choléra? """,Tunisia,,,,,,,,,
slimazzabi,Secularist-Pro Dem.,60,"seems anti: bCE ""5 years later, the old (MBJ, MMM, BCE) and the bearded have killed this hope by selling the country # 17dec #Tunisia"" seems skpetical about islamism ""Political Islam: The Turkish model difficult to transpose in Tunisia !"" seems to want secularist islam? ""
Mohamed Talbi: Islam is secularism, democracy and freedom """,Tunisia,,,,,,,,,
jnayna,Secularist-Pro Dem.,30,unsure. claims she loves democracy in one tweet. there isn't any explicitly anti BCE tweets,Tunisia,,,,,,,,,
azyyoz,Secularist-Pro Dem.,60,"tweets seem skeptical about islamism. has this pro demcoracy tweet: ""Pour moi, il s'agit de populariser les mécanismes de prise de décision. J'opte pour une démocratie locale de consensus""",Tunisia,,,,,,,,,
arabasta1,Secularist-Anti Dem.,45,"""Christian Morin on a tract of the Islamist party Ennahda: ""I am embarrassed"" -"" tweets aren't explicitly anti BCE. seems a bit skeptical about democracy ""
Democracy: The political system that we ask others to apply until they use it against us.""",Tunisia,,,,,,,,,
zinga_,Secularist-Anti Dem.,30,"""
Democracy is also the institutional right to say nonsense""",Tunisia,,"seems anti bce ""And anarchy settled successfully in #Tunisia! Bravo #BCE""",,,,"also seems anti ennahda ""Case of survival in case #ennahda take power""",,,
c_moii,Secularist-Pro Dem.,50,"seems anti nahda ""
It alarms people who know nothing about their religions and who trust in nahdha! They have nothing with Islam""",Tunisia,,,,,"also seems anti bce ""Every time I listen #BCE it is confirmed for me that it uses the same drug as #gaddefi but in mode more soft !!""",,,,
