just_unique,t_users,t_ment,Include,Notes
alaa,21903,53187,Yes,His linkedin account shows he is Egyptian
waelabbas,23774,51194,NA,NA
ghonim,32791,47460,NA,NA
nawaranegm,9725,42388,Yes,NA
sandmonkey,16255,31993,Yes,NA
elbaradei,12790,30251,NA,NA
zeinobia,14615,29525,Yes,NA
3arabawy,16190,29093,NA,NA
amrmsalama,17307,27512,Yes,The following three accounts are really easy -- they have Egypt listed as location in their user info
monasosh,12069,27065,Yes,Wikipedia says she's Egyptian
oshaokhtmeligi,16852,25519,NA,NA
kalimakhus,12173,24845,NA,NA
drbassemyoussef,4131,24176,Yes,"""Sorry, that page doesn’t exist!"""
belalfadl,7825,24146,Yes,NA
gamaleid,9141,23944,NA,NA
eahram,7856,22682,NA,NA
salmaeldaly,12651,22388,Yes,Egyptian broadcaster
yosrifouda,11365,22206,NA,NA
wael,11403,21776,NA,NA
monaeltahawy,10622,20445,Yes,Well-known Egyptian writer
alyaagad,9359,19721,Yes,"She's located in Switzerland, but says she is ""Egyptiful"", so we'll give it to her"
galalamer,5846,19140,Yes,NA
rezo007,5258,15732,Yes,"Probably egyptian--pretty much inactive, but 3/4 users they follow is Egyptian"
amrwaked,8812,15662,NA,NA
mand0z,10754,15455,NA,NA
adel_salib,10079,15433,NA,NA
hazem_azim,2267,15098,NA,NA
ahmadesseily,2514,14334,NA,NA
zeinabsamir,8726,13963,Yes,"Defunct, but is referenced in relation to Egyptian events"
shmpongo,9686,13717,NA,NA
lilianwagdy,6865,13351,NA,NA
5orm,7681,13205,Yes,NA
sarahcarr,6742,12571,NA,NA
gsquare86,7153,12382,NA,NA
minazekri,7649,12188,Yes,"Lives in Sweden, but seems Egyptian as far as I can tell"
ahmednaguib,5226,11878,NA,NA
gemyhood,5814,11779,Yes,NA
shokeir,7538,11678,Yes,NA
heshoz,3061,11099,NA,NA
mennagamal,7239,10766,NA,NA
theboghdady,5901,10748,Yes,"Instagram: ""Cairo --> New York"""
seksek,3874,10465,NA,NA
sarahngb,6369,10005,Yes,Personal account of someone living in Egypt and probably Egyptian
thebigpharaoh,1890,9855,NA,NA
h_eid,7549,9606,NA,NA
lastoadri,5826,9353,Yes,NA
rashapress,3593,9157,NA,NA
minanaguib90,5736,9103,Yes,NA
ahmad_khalil,4023,9019,Yes,NA
naguibsawiris,3970,8993,Yes,NA
mazloum,3108,8896,NA,NA
nabilelhalfawy,1947,8711,Yes,NA
alnagar80,3176,8706,NA,NA
theadly,2815,8583,NA,NA
thesherio,4623,8486,NA,NA
kalnaga,5004,8467,NA,NA
midoo0,5654,8231,Yes,NA
dr_heba_raouf,1523,8225,Yes,NA
moftasa,4458,8124,NA,NA
ahmdalish,1604,8105,NA,NA
theonlywarman,3513,7972,Yes,NA
pakinamamer,4671,7959,NA,NA
zelaky,2909,7920,NA,NA
embee,4322,7890,NA,NA
ahmada2,3121,7693,NA,NA
ramiii,4360,7674,Yes,NA
mar3e,4025,7247,Yes,NA
alaaaswany,2195,7244,Yes,NA
alienzero,3085,7237,NA,NA
salmasaid,3221,7182,NA,NA
i3atef,2729,6983,Yes,NA
loainagati,3911,6847,NA,NA
memam8,3988,6801,NA,NA
ayaabdullah,3846,6778,NA,NA
bassem_sabry,1843,6770,NA,NA
bothainakamel1,1646,6715,NA,NA
tarekshalaby,3741,6685,NA,NA
m3adel,2634,6650,NA,NA
amrrodriguez,1310,6642,NA,NA
malek,3637,6605,Yes,NA
etharkamal,4625,6380,NA,NA
ssirgany,4217,6308,NA,NA
mmaqarat,1479,6307,Yes,NA
__safi__,3380,6263,NA,NA
hfakhry,3657,6143,NA,NA
hamzanamira,2085,5967,Yes,NA
amrezzat,3018,5885,NA,NA
asmaamahfouz,1622,5880,Yes,NA
egyptocracy,3587,5811,Yes,NA
salma_ts2al,4073,5765,NA,NA
ramyraoof,4324,5762,NA,NA
nasry,3922,5723,Yes,NA
waelabdelfattah,2436,5682,NA,NA
negadelborai,2635,5643,NA,NA
mohamedwaked,2184,5628,Yes,NA
heebzo,4226,5613,NA,NA
7usfahmy,2983,5583,NA,NA
bey2ollak,1915,5581,NA,NA
themiinz,2443,5480,Yes,NA
neo_4583,2179,5459,NA,NA
sabrology,2986,5455,Yes,NA
amira_nosseir,3917,5448,Yes,NA
nevinezaki,3642,5413,NA,NA
ahmadfahmy,2599,5376,Yes,NA
elshaheeed,4272,5374,Yes,NA
rania_hafez,3600,5350,Yes,NA
sondosshabayek,2836,5342,Yes,"“Tahrir Monologues"" after revolution in 2011"
lolagamal,4006,5342,NA,NA
bad_way,2960,5329,NA,NA
deena_adel,3430,5321,NA,NA
moraslcom,1327,5314,NA,NA
nadiaglory,1558,5308,Yes,"Doesn't state her location in egypt, but her description states she's an egyptian journalist"
teewahby,2613,5228,NA,NA
shabablibya,3845,5157,Yes,"""We are young Libyans in & outside Libya inspired by youth of Egypt & Tunisia"""
ramymahrous,3149,5140,NA,NA
joeyration,1161,5098,NA,NA
ahmedmoneim,3492,5081,Yes,NA
idhooom,4338,5078,Yes,Suspended account
elazul,3468,5048,NA,NA
gr33ndata,3318,4998,NA,NA
emanhashim,3345,4956,NA,NA
moneimpress,3075,4952,NA,NA
25egypt,3743,4922,NA,NA
salamah,2523,4883,NA,NA
